State,Abbrev,Code,CensusRegion
Alabama,Ala.,AL,East South Central
Alaska,Alaska,AK,Pacific
Arizona,Ariz.,AZ,Mountain
Arkansas,Ark.,AR,West South Central
California,Calif.,CA,Pacific
Colorado,Colo.,CO,Mountain
Connecticut,Conn.,CT,New England
Delaware,Del.,DE,South Atlantic
District of Columbia,D.C.,DC,South Atlantic
Florida,Fla.,FL,South Atlantic
Georgia,Ga.,GA,South Atlantic
Hawaii,Hawaii,HI,Pacific
Idaho,Idaho,ID,Mountain
Illinois,Ill.,IL,East North Central
Indiana,Ind.,IN,East North Central
Iowa,Iowa,IA,West North Central
Kansas,Kans.,KS,West North Central
Kentucky,Ky.,KY,East South Central
Louisiana,La.,LA,West South Central
Maine,Maine,ME,New England
Maryland,Md.,MD,South Atlantic
Massachusetts,Mass.,MA,New England
Michigan,Mich.,MI,East North Central
Minnesota,Minn.,MN,West North Central
Mississippi,Miss.,MS,East South Central
Missouri,Mo.,MO,West North Central
Montana,Mont.,MT,Mountain
Nebraska,Nebr.,NE,West North Central
Nevada,Nev.,NV,Mountain
New Hampshire,N.H.,NH,New England
New Jersey,N.J.,NJ,Middle Atlantic
New Mexico,N.M.,NM,Mountain
New York,N.Y.,NY,Middle Atlantic
North Carolina,N.C.,NC,South Atlantic
North Dakota,N.D.,ND,West North Central
Ohio,Ohio,OH,East North Central
Oklahoma,Okla.,OK,West South Central
Oregon,Ore.,OR,Pacific
Pennsylvania,Pa.,PA,Middle Atlantic
Rhode Island,R.I.,RI,New England
South Carolina,S.C.,SC,South Atlantic
South Dakota,S.D.,SD,West North Central
Tennessee,Tenn.,TN,East South Central
Texas,Tex.,TX,West South Central
Utah,Utah,UT,Mountain
Vermont,Vt.,VT,New England
Virginia,Va.,VA,South Atlantic
Washington,Wash.,WA,Pacific
West Virginia,W.Va.,WV,South Atlantic
Wisconsin,Wis.,WI,East North Central
Wyoming,Wyo.,WY,Mountain
