State,Unemployment,Rank
North Dakota,2.1,1
Vermont,2.3,2
Hawaii,2.5,3
Colorado,2.6,4
Iowa,2.6,4
New Hampshire,2.6,4
Utah,2.6,4
Maine,2.8,8
South Carolina,2.8,8
South Dakota,2.8,8
Virginia,2.8,8
Idaho,3,12
Nebraska,3,12
Kansas,3.1,14
Massachusetts,3.1,14
Missouri,3.1,14
Oklahoma,3.1,14
Alabama,3.2,18
Florida,3.2,18
Wisconsin,3.2,18
Indiana,3.3,21
Maryland,3.4,22
Minnesota,3.4,22
New Jersey,3.4,22
Tennessee,3.4,22
Arkansas,3.5,26
Connecticut,3.5,26
Texas,3.5,26
Georgia,3.6,29
Montana,3.6,29
Rhode Island,3.6,29
Delaware,3.7,32
Oregon,3.7,32
Wyoming,3.7,32
New York,3.8,35
North Carolina,3.8,35
Illinois,4,37
Nevada,4,37
California,4.1,39
Kentucky,4.1,39
Michigan,4.1,39
Ohio,4.2,42
Washington,4.3,43
Pennsylvania,4.5,44
Louisiana,4.6,45
Arizona,4.9,46
New Mexico,4.9,46
West Virginia,4.9,46
District of Columbia,5.4,49
Mississippi,5.4,49
Alaska,5.5,51
